Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
RECETTE D’UN BIG BURGER IN-AND-OUT ! (Burger Secret),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Recette d'un big burger secret : In-And-Out animal style hamburger 
🎥 As-tu vu ma dernière vidéo? https://youtu.be/sD2ZVKVzmZc

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

BIG BURGER :

Pain burger : https://youtu.be/wD8Bhy-psCw
1 oignon blanc,
500 gr de viande haché
Cheddar en tranches
De la salade
1 tomate
Sauce :
2 cuillères à soupe de ketchup
2 cuillères à soupe de mayonnaise
2 cornichons 
1 cuillère à café de jus de citron
1 cuillère à café de persil haché 
Un peu de paprika 
Un peu de piment de cayenne",FastGoodCuisine,2018-06-10 11:58:33+00:00,"['fastgoodcuisine', 'fastgoodcuisine burger', 'fastgoodcuisine mcdo', 'burger', 'burger king', 'burger recette', 'big burger', 'hamburger', 'hamburger maison', 'hamburger xxl', 'hamburger recette', 'hamburger fastgoodcuisine', 'in and out', 'in and out burger', 'recette', 'recette facile', 'recette de burger', 'Test big burger', 'burger secret', 'cuisine', 'fastfood', 'food', 'fast food', ""mcdonald's"", 'cheeseburger', 'xxl', 'burgers', 'dégustation', 'mcdonalds', 'recette burger']",26,8:38,987,21139,601551,0,hd,True,M0XcgqFgsZU,4.0,3 days 00:00:00
LA BOISSON LA PLUS ÉTRANGE DU MONDE ! (Eau de cactus dégustation),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Dégustation: on goûte pleins de produits dont l'eau de cactus 
🎥 As-tu vu ma dernière vidéo? https://youtu.be/FKVCqhkQvU8

Chaque jour, un rêve d’enfant est réalisé.
N'hésitez pas à soutenir l'association : 
www.petitsprinces.com

----

Utilise le code ""292431311"" pour avoir un rabais de 5% sur le site http://www.candysan.com Il faut l'utiliser à l'inscription !

----

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-06-06 14:59:12+00:00,"['fastgoodcuisine', 'fastgoodcuisine dégustation', 'dégustation', 'dégustation américaine', 'dégustation 2018', 'dégustation américaine 2018', 'dégustation candysan', 'candysan', 'dégustation de bonbons', 'bonbons', 'bonbon', 'dégustation my american market', 'bonbon harry potter', 'degustation', 'food', 'candy', 'my american market', 'degustation en famille', 'candysan degustation', 'degustation en couple', 'japon', 'boisson', 'boisson challenge', 'boisson étrange', 'cactus', 'degustation candysan', 'nourriture', 'yummy', 'étrange']",26,12:25,984,20291,442057,0,hd,True,sD2ZVKVzmZc,0.0,0.0
RECETTE POUR FAIRE UN COCKTAIL DANS UNE PASTÈQUE ! (facile et rapide),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Transformez une pastèque en boisson parfaite pour l'été. (Tuto facile) 
🎥 As-tu vu ma dernière vidéo? https://youtu.be/iyAXszjcaW0

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

Ingrédients :
1 pastèque
2 citrons verts
De la menthe 
5 à 10 cl de Vodka (facultatif)

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-06-03 14:58:48+00:00,"['cocktail pastèque', 'fastgoodcuisine', 'pastèque', 'fastgoodcuisine cocktail', 'cocktail facile', 'pastèque vodka', 'watermelon', 'watermelon challenge', 'pastèques', 'pastèque challenge', 'pastèque décoration', 'transformé des pastèques', 'cocktail', 'cocktail avec alcool', 'cocktail sans alcool', 'recette', 'recette été', 'recette barbecue', 'recette ramadan', 'recette facile', 'boisson', 'boisson facile', 'cuisine', 'facile', 'tuto', 'alcool', 'été', 'apéritif', 'tuto facile', ""tuto pour l'été""]",26,4:53,671,14428,374718,0,hd,True,FKVCqhkQvU8,0.0,0.0
J'AI TROUVÉ LE MEILLEUR GYROS DE GRÈCE ! (Vlog dégustation),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Je cherche le meilleur Gyros de Grèce et je l'ai trouvé à Santorin
🎥 As-tu vu ma dernière vidéo? ( Lien Video)

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-30 13:59:45+00:00,"['fastfood', 'recette', 'Fastgoodcuisine', 'fastgoodcuisine kebab', 'fastgoodcuisine gyros', 'gyros', 'gyros grec', 'gyros recette', 'gyros pita le meilleur', 'meilleur le meilleur Gyros', 'grèce', 'grèce tourisme', 'dégustation', 'dégustation kebab', 'dégustation gyros', 'glace', 'glace kinder', 'kebab', 'food', 'fast food', 'recette facile', 'gyro', 'degustation', 'tzatziki', 'sandwich', 'Vlog', 'vlog voyage']",26,8:59,739,15250,364673,0,hd,True,iyAXszjcaW0,0.0,0.0
3 RECETTES POUR UNE SOIRÉE NETFLIX (recettes faciles et rapides),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
S'mores, Quesadillas et Snack Healthy ! Recettes pour devant Netflix
🎥 As-tu vu ma dernière vidéo? https://youtu.be/3d8Q5DhMNvc

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-27 11:58:37+00:00,"['fastgoodcuisine', 'fastgood', 'cuisine', 'fastgoodcuisine recette', 'netflix', 'netflix france', 'serie netflix', 'serie', 'serai à voir', 'mes series netflix', 'casa', 'case de papel', 'serve case de papel', 'recette', 'recettes', 'recette facile et rapide', 'recette facile', 'recette rapide', 'healthy', 'recette healthy', 'snack', 'smores', ""s'mores"", ""recette s'mores"", 'quesadillas', 'recette quesadillas', 'facile', 'rapide', 'food', 'fastfood', 'tuto', 'comment faire', 'chocolat', 'recette de cuisine']",26,7:10,5888,43530,1068431,0,hd,True,_Xhat6fSgk8,0.0,0.0
JE TESTE LE KEBAB DU MCDO (McDonald's Grèce),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine (Merci)
Dégustation Mcdo, Je teste le Kebab du McDonald's en Grèce !
🎥 As-tu vu ma dernière vidéo? https://youtu.be/g6VMcYZT3eA

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-23 14:59:19+00:00,"['Fastgoodcuisine', 'fastgoodcuisine mcdo', 'fastgoodcuisine mcdonald’s', 'mcdo', 'mcdonald’s', ""mcdonald's degustation"", ""mcdonald's challenge"", 'je teste un mcdo', 'fastfood', 'fastfood mcdo', 'kebab', 'kebab dégustation', 'Kebab Mcdo', 'dégustation mcdo', 'dégustation', 'degustation américaine', 'degustation kebab', 'dégustation tacos', 'mcdo grece', 'grèce', 'mcdonalds', 'degustation', 'fast food', ""mcdonald's"", 'burger', 'degustation mcdo']",26,7:29,1321,24929,774351,0,hd,False,3d8Q5DhMNvc,0.0,0.0
CETTE BOISSON EST SURPRENANTE ! (Tuto cocktail magique),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine)
Cocktail avec et sans alcool pour réaliser une boisson surprenante !
🎥 As-tu vu ma dernière vidéo? https://youtu.be/9xcbaHV1xfc

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

Pour la version sans alcool 
-1cl de sirop
- de la limonade 
- colorant (Facultatif)
- poudre dorée ou argenté 

Pour la version avec alcool
-2 cl de vodka 
-12 cl de moscato
- du colorant 
- poudre dorée ou argenté


📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-20 11:58:21+00:00,"['fastgoodcuisine', 'fastgoodcuisine cocktail', 'magique', 'cocktail', 'cocktail facile', 'cocktail rapide', 'cocktail pour soirée', 'recette de cocktail', 'recette de cocktail avec alcool', 'recette de cocktail sans alcool', 'vodka', 'boisson', 'dégustation de boisson', 'magie', 'Tuto', 'tuto alcool', 'vodka viniq', 'vodka viniq tuto', 'apéritif', 'cocktails', 'alcool', 'boissons', 'recette', 'faireuncocktail', 'recette de cocktail facile', 'apéritifs', 'apéro', 'recette boisson apéritif', 'aperitif']",26,7:38,602,16409,325337,0,hd,True,g6VMcYZT3eA,0.0,0.0
"COMMENT FAIRE UN KEBAB MAISON XXL ? (2,5 KG)","Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Après le Gigatacos, voici le Kebab maison XXL ! #UneTuerie 
🎥 As-tu vu ma dernière vidéo? https://youtu.be/-PGS6kaA1LY

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

KEBAB XXL
___________

Pain :
500 g de farine à pain
300 ml d'eau tiède
1 sachet de levure de boulanger 
2 cuillères à soupe d'huile d'olive
1 cuillère à soupe de sucre 
1 cuillère à café de sel
1 cuillère à café cumin 
Un peu de Coriandre 

Escalope de poulet 1Kg
Huile d'olive
sel, poivre 
4 cuillères à soupe de paprika -
2 cuillères à soupe de gingembre, -
4 cuillères à soupe de curry -
4 cuillères d'herbes de Provence 
Oignons 
Salade iceberg 
Tomates 
Sauce blanche, la recette : https://www.youtube.com/watch?v=sLFbK0kmFuc


📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-16 14:58:22+00:00,"['fastgoodcuisine', 'fastgoodcuisine tacos', 'fastgoodcuisine kebab', 'Kebab', 'Kebab maison', 'Kebab fait maison', 'Kebab dégustation xxl', 'kebab xxl', 'teste un kebab', 'un vrai kebab', 'gigatacos', 'gigakebab', 'fastfood', 'pizza', 'donner', 'recette', 'recette facile', 'recette facile et rapide', 'cuisine', 'fast food', 'food', 'facile', 'recette rapide', 'tacos xxl', 'dégustation', ""o'tacos"", 'poulet', 'tuto', 'grec', 'xxl', 'degustation']",26,7:40,2237,18338,563111,0,hd,True,9xcbaHV1xfc,4.0,3 days 00:00:00
COMMENT FAIRE UNE MACHINE À POP-CORN (DIY Coca-Cola),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Comment faire une machine à pop-corn avec 2 canettes de Coca !
🎥 As-tu vu ma dernière vidéo? https://youtu.be/Emrj-caJvms

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

Machine à pop-corn
--------------------------------
2 Canettes 
Des ciseaux ou un cutter 
1 bougie 
du pop-corn

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-13 07:59:15+00:00,"['Fastgoodcuisine', 'fastgoodcuisine coca', 'fastgoodcuisine coca-cola', 'coca', 'coke', 'coca-cola', 'coca-cola expérience', 'coca-cola bonbon', 'pop-corn', 'pop-corn sucré', 'pop', 'pop-corn salé', 'comment faire', 'comment faire du pop-corn', 'comment faire une machine', 'comment faire une machine à pop-corn', 'machine a pop corn canette', 'tuto', 'DIY', 'coca cola', 'popcorn', 'experiment', 'fastfood', 'life hacks', 'pop corn', 'cola', 'bonbon xxl coca-cola', 'wtf']",26,5:27,588,13693,289396,0,hd,False,-PGS6kaA1LY,2.0,2 days 00:00:00
MANGER LA PLUS GRANDE PIZZA DE FRANCE ! (1m de diamètre),"Clique juste ici pour t'abonner ➡️ http://bit.ly/fastgoodcuisine 
Challenge pizza ! Je teste de manger la pizza la plus grande de France
🎥 As-tu vu ma dernière vidéo? https://youtu.be/2L8t_xa5sCk

Mon livre de cuisine est disponible !
📕http://bit.ly/LeLivreFastGood

Le restaurant :
PAPELLI 74 Rue du Faubourg Saint-Denis, 75010 Paris

⇩ SUIVEZ-MOI SUR LES RÉSEAUX ⇩ 

🖼️ Instagram : https://www.instagram.com/fastgoodcuisine
💪 Fitness : https://www.instagram.com/charlesfit_ness
🐦 Twitter : https://twitter.com/fastgoodcuisine
👻 Snapchat : Fastgoodcuisine
🌐 Facebook : https://www.facebook.com/FastGoodCuisine

Active la 🔔 pour ne rater aucune vidéo ! 

📌 Contact presse / Collaboration 
Fastgoodcuisine@gmail.com 

Découvrez les meilleures vidéos de ma chaîne ⇩
https://www.youtube.com/watch?v=rNpFcjaf0qs&list=PUKq9JxyISqBHDd-fXfV3QtQ

__

FastGoodCuisine est la première chaîne de cuisine en France, retrouvez de délicieuses recettes rapides et faciles à reproduire à la maison !",FastGoodCuisine,2018-05-09 11:57:30+00:00,"['fastgoodcuisine', 'fastgoodcuisine pizza', 'pizza fastgoodcuisine', 'Pizza', 'Pizza challenge', 'Pizza maison', 'pizza xxl', 'Manger pizza', 'dégustation', 'dégustation pizza', 'La plus grande pizza de france', 'Papelli pizza', 'papelli paris', 'xxl', 'restaurant', 'restaurant paris', 'cuisine', 'food', 'fastfood', 'food challenge', 'pâte à pizza', 'paris', 'fast food', 'challenge', 'italie', 'manger', 'la plus', 'la plus grande', 'défi', 'challenges']",26,6:45,1123,17639,336312,0,hd,True,Emrj-caJvms,0.0,0.0
